,0
0,48568.4446
1,12925.4258
2,4352.4298
3,2934.9794
4,71794.5808
5,5801.0423
6,2401.6695
7,12000.6486
8,9504.4008
9,13160.2177
10,7494.6208
11,5650.3774
12,8393.3633
13,5627.5828
14,3523.4439
15,3647.478
16,6055.2995
17,9759.4703
18,530.5045
19,3413.1955
20,16365.8978
21,25540.8005
22,85688.6597
23,15732.2527
24,156.5313
25,3242.789
26,5819.8309
27,11956.6696
28,16218.805
29,8776.5041
30,23376.0321
31,22275.6451
32,17289.2321
33,34744.9056
34,100977.6475
35,72067.3884
36,77688.0063
37,158631.2725
38,12533.5604
39,78036.7225
40,4232.1461
41,10273.6875
42,10215.9506
43,11447.6524
44,9392.3652
45,10122.62
46,14877.229
47,41672.0088
48,23064.4742
49,8749.0919
50,4939.4324
51,10879.52
52,8463.0146
53,11252.364
54,18285.9277
55,52772.7944
56,323849.0208
57,224321.1086
58,44342.3198
59,15508.3014
60,14618.2702
61,48000.5
62,56222.0446
63,39038.8713
64,61252.4894
65,175054.9073
66,211689.605
67,142023.691
68,132731.8973
69,488323.97429999994
70,10875.4485
71,693.2362
72,1448.9653
73,133.8008
74,27170.9932
75,3432.1225
76,10222.9648
77,4315.2699
78,14432.9809
79,5794.4571
80,7156.9976
81,7476.9489
82,18633.612
83,18000.1334
84,10432.7265
85,13855.9022
86,26936.3562
87,18078.3426
88,5442.4661
89,15349.0393
90,36373.0109
91,69126.6141
92,80331.7826
93,18851.565
94,280.4067
95,2878.3655
96,13804.2768
97,24232.2327
98,7204.0068
99,19286.0658
100,32921.7391
101,61462.5495
102,43666.3651
103,31843.9786
104,139874.4644
105,12645.8883
106,0.0
107,831.2642
108,9.8049
109,50240.6165
110,4717.0934
111,4165.4878
112,18937.9679
113,33572.2473
114,33743.1015
115,9265.4297
116,8839.3492
117,22838.0895
118,13961.9207
119,5249.9958
120,3665.9183
121,10890.3205
122,16254.6866
123,1775.4724
124,10650.3076
125,16302.4478
126,94297.9552
127,102346.8404
128,23933.3323
129,2381.0469
130,3467.9579
131,32269.4551
132,14612.0601
133,12686.305
134,27019.5474
135,62870.0147
136,60958.563
137,100439.7517
138,49499.7432
139,197033.6988
140,5087.7605
141,492.7282
142,1501.9423
143,45.9276
144,6626.1799
145,2418.0493
146,559.4224
147,3469.2931
148,1764.676
149,700.4356
150,2047.5909
151,2531.4958
152,6112.6798
153,2203.2595
154,755.5174
155,2025.8266
156,2099.1916
157,1550.6417
158,517.8506
159,1896.7531
160,4033.4165
161,13337.0895
162,15670.5108
163,5863.0362
164,113.8247
165,485.3587
166,2764.4104
167,2219.0564
168,2185.8996
169,5173.8203
170,5206.2361
171,8166.9687
172,4811.5502
173,5894.5329
174,17746.3554
175,10277.8937
176,527.8543
177,256.2811
178,135.2677
179,12304.8008
180,3976.9756
181,1739.9158
182,6978.9862
183,5307.2138
184,766.3397
185,1664.1635
186,1965.7426
187,2703.8583
188,1461.5482
189,1140.2117
190,1287.4954
191,2658.5767
192,2493.9967
193,673.4946
194,1807.6176
195,4268.5497
196,7180.0213
197,6776.1116
198,2724.6793
199,1744.5163
200,1679.7918
201,739.2316
202,2312.5026
203,1488.4472
204,1069.6535
205,2604.9331
206,2526.2633
207,2310.0512
208,3508.1612
209,11613.2366
210,121273.8862
211,41229.417
212,36005.6189
213,2537.6976
214,160990.0424
215,33467.3937
216,6735.3086
217,104869.6595
218,66495.697
219,15528.824
220,24873.3276
221,17544.6412
222,44133.9297
223,22314.4372
224,21633.3222
225,17399.863
226,27463.7104
227,62627.2664
228,6742.2985
229,32577.3298
230,68394.8735
231,113464.5507
232,253331.3771
233,84757.1452
234,4775.3433
235,9652.2827
236,23268.5935
237,65147.0952
238,33420.069
239,38071.4496
240,140529.1906
241,140032.7401
242,91289.7227
243,177729.0893
244,411164.84800000006
245,74358.9073
246,72845.0538
247,32539.6041
248,15631.4877
249,101282.2437
250,4625.374
251,27726.9698
252,33838.343
253,30977.9237
254,11039.929
255,23015.0752
256,18018.3905
257,56487.5112
258,29294.4375
259,11570.0719
260,8318.2812
